Phone Name, Price
ড্রিল মেশিন সেট (১০০ পিস) - 3518, Tk 2350
Instant Heater Shower(Brazilian Technology)-0081, Tk 1190
Digital Instant Hot Water Tap - 2551, Tk 2950
Pop-up Automatic Toothpick Dispenser, Tk 390
Quick-Drying Diatom Mud Soft Floor Mat (Buy1), Tk 390
Washable Dust Removal Gloves (10 psc), Tk 390
Multifunctional 2 in 1 egg opener, Tk 690
Vegetable Cutter Universal Slicer Onion Cutter with 5 Bladen, Tk 690
4PCS Kitchen Magic Sponge Brush, Tk 290
Portable Air Cooling Fan, Tk 1290
Automatic kitchen liquid-adding pot washing brush, Tk 590
